id,grau,tipo,notacao,funcao,chm,prioridade,comentario,secundarias_json
11,bII,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}]"
12,bII,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": 4, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""#IVm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 1, ""comentario"": null}]"
13,bII,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": 2, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 1, ""comentario"": null}]"
14,bII,7,,D,bII7 (e.m.),1,,"[{""grau"": ""IV7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bV"", ""prioridade"": 4, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""bVII7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": null, ""funcao"": null, ""referencia"": ""bVI"", ""prioridade"": 5, ""comentario"": null}]"
15,bII,Maj7,,S,bIIMaj7 (e.m.),1,,"[{""grau"": ""bIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}]"
16,II,dim7,"Este acorde pode ser, na verdade, uma inversão do VIIdim. Assim, na partitura devem ser notadas as notas deste acorde do sétimo grau mas com a devida inversão do baixo.",D,VIIdim7 (e.m),1,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""#IV"", ""prioridade"": 5, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""#IV"", ""prioridade"": 4, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bIII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}]"
17,II,m7(b5),,S,IIm7(b5) (e.m.),1,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bIII"", ""prioridade"": 2, ""comentario"": null}]"
18,II,m7,,S,IIm7,1,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}]"
19,II,7,,S,II7,2,"Na verdade o II7 normalmente é uma dominante secundária do V, no caso seria a ""dominante da dominante"". Mas para isso ocorrer ele deveria preceder um acorde de função dominante (principal). Se não for este o caso é possível pensar no II7 como acorde de uso autônomo, neste caso, tomando a função de subdominante (principal).","[{""grau"": ""bII7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""IV7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bVII7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 6, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": null, ""funcao"": null, ""referencia"": ""VI"", ""prioridade"": 3, ""comentario"": null}]"
20,II,Maj7,,,,,,"[{""grau"": ""bIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": 3, ""comentario"": ""Esta explicação é razoável somente se esta subdominante secundária estiver preprando um acorde maior.""}, {""grau"": ""bVIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""#IV"", ""prioridade"": 4, ""comentario"": ""Para esta explicação ser razoável o ponto de chegada deve ser maior com sétima.""}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 2, ""comentario"": ""Esta explicação é razoável somente se esta subdominante secundária estiver preprando um acorde maior.""}]"
21,II#,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}]"
22,II#,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""#IV"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 1, ""comentario"": null}]"
23,II#,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVm7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 1, ""comentario"": null}]"
24,II#,7,,,,,,"[{""grau"": ""bII7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IV7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bVII7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": null, ""referencia"": ""bVII"", ""prioridade"": 5, ""comentario"": null}]"
25,II#,Maj7,,T,bIIIMaj7,1,A melhor notação para este caso seria o acorde enarmônico uma nota acima.,"[{""grau"": ""bIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}]"
26,bIII,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}]"
27,bIII,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bV"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 2, ""comentario"": null}]"
